report_date,report_type,location,site,department,contractor,reporter_role,description,severity,planted_pattern
2026-04-09,UNSAFE_CONDITION,Site Echo,Site Bravo,Logistics,Contractor-Vantage Energy Services,Operator,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-08-18,UNSAFE_CONDITION,Site Delta,Site Foxtrot,Logistics,Contractor-Meridian Fabrication,Foreman,First aid kit in the workshop was missing a few items.,HIGH,
2026-08-20,UNSAFE_CONDITION,Site Charlie,Site Alpha,Maintenance,Contractor-Summit Rigging Co,Site Supervisor,First aid kit in the workshop was missing a few items.,MODERATE,
2026-07-09,NEAR_MISS,Site Alpha,Site Charlie,HSE,Contractor-Summit Rigging Co,Engineer,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-02-26,NEAR_MISS,Site Foxtrot,Site Charlie,HSE,Contractor-Atlas Mechanical,Foreman,Housekeeping issue noted in the tool storage area.,HIGH,
2026-07-16,UNSAFE_CONDITION,Site Alpha,Site Alpha,Logistics,Contractor-Delta Wellsite Services,Foreman,Fire extinguisher inspection tag found expired in the break room.,LOW,
2026-06-08,UNSAFE_CONDITION,Site Delta,Site Alpha,Drilling,Contractor-Orion Field Services,Engineer,Housekeeping issue noted in the tool storage area.,HIGH,
2026-05-02,UNSAFE_CONDITION,Site Echo,Site Echo,Maintenance,Contractor-Ironclad Scaffolding,Engineer,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-05-14,UNSAFE_ACT,Site Charlie,Site Bravo,Operations,Contractor-Pinnacle Contractors,Safety Officer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-05-06,UNSAFE_CONDITION,Site Charlie,Site Alpha,Pipeline Integrity,Contractor-Summit Rigging Co,Site Supervisor,Contractor started grinding work without an approved hot work permit.,MODERATE,permit_to_work
2026-06-05,NEAR_MISS,Site Echo,Site Bravo,Drilling,Contractor-Delta Wellsite Services,Engineer,Minor spill of lubricant was cleaned up promptly with no injury.,LOW,
2026-04-17,NEAR_MISS,Site Foxtrot,Site Bravo,Logistics,Contractor-Meridian Fabrication,Engineer,Water leakage from a faucet reported in the site canteen.,LOW,
2026-05-19,NEAR_MISS,Site Delta,Site Alpha,Logistics,Contractor-Delta Wellsite Services,Safety Officer,Minor spill of lubricant was cleaned up promptly with no injury.,MODERATE,
2026-08-20,UNSAFE_ACT,Site Delta,Site Alpha,Drilling,Contractor-Atlas Mechanical,Operator,Worker was seen without fall protection while cleaning the tank roof.,MODERATE,working_at_height
2026-06-09,UNSAFE_ACT,Site Charlie,Site Foxtrot,Operations,Contractor-Redline Maintenance Group,Operator,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-07-08,UNSAFE_CONDITION,Site Foxtrot,Site Bravo,Operations,Contractor-Redline Maintenance Group,Site Supervisor,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-03-23,UNSAFE_ACT,Site Echo,Site Echo,Operations,Contractor-Beacon Electrical Works,Foreman,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-08-14,UNSAFE_ACT,Site Charlie,Site Bravo,HSE,Contractor-Orion Field Services,Engineer,Technician entered energized pump area before electrical isolation was verified.,LOW,electrical_isolation
2026-06-14,UNSAFE_CONDITION,Site Foxtrot,Site Alpha,Pipeline Integrity,Contractor-Northstar Industrial,Safety Officer,Water leakage from a faucet reported in the site canteen.,MODERATE,
2026-04-12,UNSAFE_CONDITION,Site Alpha,Site Charlie,Pipeline Integrity,Contractor-Beacon Electrical Works,Engineer,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-08-20,UNSAFE_ACT,Site Delta,Site Echo,Pipeline Integrity,Contractor-Orion Field Services,Site Supervisor,Waste segregation bins were not properly labeled at the site office.,HIGH,
2026-03-22,NEAR_MISS,Site Charlie,Site Echo,Logistics,Contractor-Coastal Logistics,Site Supervisor,Minor spill of lubricant was cleaned up promptly with no injury.,HIGH,
2026-07-13,UNSAFE_CONDITION,Site Charlie,Site Echo,HSE,Contractor-Pinnacle Contractors,Foreman,Worker used an unsafe ladder that was not rated for the task.,MODERATE,working_at_height
2026-03-20,UNSAFE_CONDITION,Site Delta,Site Echo,Drilling,Contractor-Ironclad Scaffolding,Site Supervisor,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-05-30,UNSAFE_ACT,Site Alpha,Site Bravo,Operations,Contractor-Delta Wellsite Services,Site Supervisor,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-07-22,UNSAFE_CONDITION,Site Delta,Site Bravo,Maintenance,Contractor-Atlas Mechanical,Foreman,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-03-17,UNSAFE_ACT,Site Bravo,Site Charlie,Pipeline Integrity,Contractor-Beacon Electrical Works,Safety Officer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-04-03,NEAR_MISS,Site Delta,Site Foxtrot,Logistics,Contractor-Pinnacle Contractors,Engineer,Waste segregation bins were not properly labeled at the site office.,HIGH,
2026-08-03,UNSAFE_ACT,Site Foxtrot,Site Delta,HSE,Contractor-Beacon Electrical Works,Operator,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-04-22,UNSAFE_ACT,Site Alpha,Site Charlie,Maintenance,Contractor-Beacon Electrical Works,Technician,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-08-09,UNSAFE_CONDITION,Site Alpha,Site Echo,HSE,Contractor-Beacon Electrical Works,Safety Officer,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-03-23,UNSAFE_ACT,Site Charlie,Site Delta,Pipeline Integrity,Contractor-Beacon Electrical Works,Engineer,First aid kit in the workshop was missing a few items.,LOW,
2026-03-15,UNSAFE_ACT,Site Delta,Site Foxtrot,Logistics,Contractor-Atlas Mechanical,Engineer,Water leakage from a faucet reported in the site canteen.,MODERATE,
2026-08-08,NEAR_MISS,Site Bravo,Site Delta,Drilling,Contractor-Atlas Mechanical,Foreman,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-08-01,UNSAFE_ACT,Site Delta,Site Charlie,Operations,Contractor-Meridian Fabrication,Safety Officer,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-04-27,UNSAFE_ACT,Site Foxtrot,Site Echo,Logistics,Contractor-Coastal Logistics,Technician,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-04-18,UNSAFE_ACT,Site Echo,Site Delta,Operations,Contractor-Redline Maintenance Group,Operator,Worker used an unsafe ladder that was not rated for the task.,MODERATE,working_at_height
2026-04-25,NEAR_MISS,Site Echo,Site Foxtrot,Operations,Contractor-Redline Maintenance Group,Site Supervisor,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-07-26,NEAR_MISS,Site Alpha,Site Echo,Drilling,Contractor-Delta Wellsite Services,Foreman,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-04-20,UNSAFE_ACT,Site Delta,Site Charlie,Operations,Contractor-Vantage Energy Services,Engineer,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-07-18,NEAR_MISS,Site Foxtrot,Site Echo,Logistics,Contractor-Beacon Electrical Works,Technician,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-07-14,UNSAFE_ACT,Site Charlie,Site Foxtrot,Operations,Contractor-Summit Rigging Co,Foreman,First aid kit in the workshop was missing a few items.,MODERATE,
2026-06-16,NEAR_MISS,Site Alpha,Site Charlie,Logistics,Contractor-Northstar Industrial,Safety Officer,First aid kit in the workshop was missing a few items.,MODERATE,
2026-04-02,UNSAFE_CONDITION,Site Foxtrot,Site Echo,Drilling,Contractor-Beacon Electrical Works,Engineer,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-08-01,NEAR_MISS,Site Bravo,Site Bravo,Operations,Contractor-Coastal Logistics,Foreman,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-08-25,UNSAFE_CONDITION,Site Echo,Site Delta,Logistics,Contractor-Atlas Mechanical,Foreman,Technician bypassed LOTO procedure to save time during shift changeover.,LOW,electrical_isolation
2026-05-12,UNSAFE_CONDITION,Site Bravo,Site Charlie,Maintenance,Contractor-Vantage Energy Services,Foreman,Noise levels in the compressor room exceeded comfort but PPE was in use.,LOW,
2026-03-25,NEAR_MISS,Site Alpha,Site Bravo,Logistics,Contractor-Atlas Mechanical,Foreman,Housekeeping issue noted in the tool storage area.,HIGH,
2026-08-12,UNSAFE_ACT,Site Bravo,Site Echo,Maintenance,Contractor-Pinnacle Contractors,Technician,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-05-10,NEAR_MISS,Site Alpha,Site Foxtrot,Maintenance,Contractor-Ironclad Scaffolding,Operator,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-04-13,UNSAFE_CONDITION,Site Delta,Site Echo,Maintenance,Contractor-Delta Wellsite Services,Foreman,Fire extinguisher inspection tag found expired in the break room.,LOW,
2026-08-24,UNSAFE_ACT,Site Echo,Site Bravo,HSE,Contractor-Summit Rigging Co,Technician,Trip hazard from a loose cable was reported and fixed same day.,MODERATE,
2026-08-16,NEAR_MISS,Site Bravo,Site Charlie,Drilling,Contractor-Vantage Energy Services,Engineer,First aid kit in the workshop was missing a few items.,MODERATE,
2026-08-18,UNSAFE_ACT,Site Foxtrot,Site Charlie,Drilling,Contractor-Ironclad Scaffolding,Operator,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-05-11,NEAR_MISS,Site Delta,Site Echo,HSE,Contractor-Ironclad Scaffolding,Site Supervisor,Housekeeping issue noted in the tool storage area.,HIGH,
2026-06-25,NEAR_MISS,Site Alpha,Site Bravo,Maintenance,Contractor-Atlas Mechanical,Operator,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-08-19,NEAR_MISS,Site Delta,Site Charlie,Drilling,Contractor-Beacon Electrical Works,Operator,Fire extinguisher inspection tag found expired in the break room.,MODERATE,
2026-08-05,UNSAFE_CONDITION,Site Delta,Site Foxtrot,Drilling,Contractor-Redline Maintenance Group,Operator,First aid kit in the workshop was missing a few items.,LOW,
2026-08-15,UNSAFE_CONDITION,Site Alpha,Site Bravo,HSE,Contractor-Pinnacle Contractors,Foreman,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-07-13,NEAR_MISS,Site Alpha,Site Alpha,Maintenance,Contractor-Ironclad Scaffolding,Foreman,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-05-04,UNSAFE_ACT,Site Charlie,Site Delta,Maintenance,Contractor-Coastal Logistics,Technician,Housekeeping issue noted in the tool storage area.,HIGH,
2026-04-08,UNSAFE_ACT,Site Charlie,Site Foxtrot,Logistics,Contractor-Coastal Logistics,Engineer,Trip hazard from a loose cable was reported and fixed same day.,LOW,
2026-07-10,UNSAFE_ACT,Site Delta,Site Charlie,HSE,Contractor-Meridian Fabrication,Safety Officer,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-07-08,UNSAFE_ACT,Site Bravo,Site Bravo,Drilling,Contractor-Northstar Industrial,Engineer,Trip hazard from a loose cable was reported and fixed same day.,MODERATE,
2026-04-11,UNSAFE_CONDITION,Site Delta,Site Echo,Drilling,Contractor-Pinnacle Contractors,Engineer,Temporary lighting was insufficient in the storage yard at night.,LOW,
2026-05-12,NEAR_MISS,Site Echo,Site Delta,HSE,Contractor-Redline Maintenance Group,Technician,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-08-16,UNSAFE_CONDITION,Site Delta,Site Foxtrot,Logistics,Contractor-Northstar Industrial,Technician,Employee suggestion box was overflowing and needs regular clearing.,MODERATE,
2026-03-23,NEAR_MISS,Site Bravo,Site Delta,Maintenance,Contractor-Delta Wellsite Services,Engineer,Water leakage from a faucet reported in the site canteen.,HIGH,
2026-08-19,NEAR_MISS,Site Echo,Site Bravo,Pipeline Integrity,Contractor-Beacon Electrical Works,Technician,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-05-03,UNSAFE_ACT,Site Delta,Site Echo,Drilling,Contractor-Ironclad Scaffolding,Engineer,Waste segregation bins were not properly labeled at the site office.,LOW,
2026-08-05,NEAR_MISS,Site Charlie,Site Foxtrot,Logistics,Contractor-Beacon Electrical Works,Safety Officer,Reverse alarm on the site vehicle was found to be non-functional.,HIGH,vehicle_pedestrian
2026-04-25,UNSAFE_ACT,Site Bravo,Site Echo,Operations,Contractor-Delta Wellsite Services,Engineer,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-08-18,UNSAFE_ACT,Site Charlie,Site Delta,Logistics,Contractor-Ironclad Scaffolding,Site Supervisor,Temporary lighting was insufficient in the storage yard at night.,MODERATE,
2026-06-30,NEAR_MISS,Site Charlie,Site Charlie,Operations,Contractor-Vantage Energy Services,Technician,Noise levels in the compressor room exceeded comfort but PPE was in use.,HIGH,
2026-05-25,UNSAFE_ACT,Site Delta,Site Echo,Logistics,Contractor-Summit Rigging Co,Site Supervisor,Employee suggestion box was overflowing and needs regular clearing.,HIGH,
2026-06-04,UNSAFE_ACT,Site Alpha,Site Charlie,Operations,Contractor-Pinnacle Contractors,Safety Officer,Isolation certificate was missing when crew started work on the motor.,LOW,electrical_isolation
2026-04-04,NEAR_MISS,Site Echo,Site Foxtrot,HSE,Contractor-Delta Wellsite Services,Technician,Trip hazard from a loose cable was reported and fixed same day.,HIGH,
2026-03-05,UNSAFE_ACT,Site Alpha,Site Bravo,Logistics,Contractor-Pinnacle Contractors,Operator,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-03-18,UNSAFE_ACT,Site Foxtrot,Site Bravo,Logistics,Contractor-Beacon Electrical Works,Operator,Waste segregation bins were not properly labeled at the site office.,LOW,
2026-04-02,NEAR_MISS,Site Charlie,Site Delta,HSE,Contractor-Summit Rigging Co,Technician,First aid kit in the workshop was missing a few items.,HIGH,
2026-07-09,UNSAFE_ACT,Site Echo,Site Foxtrot,Maintenance,Contractor-Pinnacle Contractors,Safety Officer,Noise levels in the compressor room exceeded comfort but PPE was in use.,MODERATE,
2026-08-25,NEAR_MISS,Site Charlie,Site Foxtrot,Pipeline Integrity,Contractor-Meridian Fabrication,Site Supervisor,Entry permit for the vessel was not verified prior to work.,LOW,confined_space
2026-08-05,UNSAFE_CONDITION,Site Charlie,Site Foxtrot,Operations,Contractor-Meridian Fabrication,Foreman,Noise levels in the compressor room exceeded comfort but PPE was in use.,LOW,
2026-03-09,UNSAFE_CONDITION,Site Delta,Site Echo,Pipeline Integrity,Contractor-Beacon Electrical Works,Safety Officer,Waste segregation bins were not properly labeled at the site office.,LOW,
2026-04-07,NEAR_MISS,Site Delta,Site Delta,Operations,Contractor-Northstar Industrial,Operator,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
2026-03-28,UNSAFE_ACT,Site Delta,Site Delta,HSE,Contractor-Coastal Logistics,Foreman,Temporary lighting was insufficient in the storage yard at night.,LOW,
2026-05-30,UNSAFE_CONDITION,Site Charlie,Site Delta,Drilling,Contractor-Ironclad Scaffolding,Engineer,Signage for emergency assembly point was faded and needs replacement.,LOW,
2026-05-15,NEAR_MISS,Site Charlie,Site Foxtrot,Operations,Contractor-Delta Wellsite Services,Foreman,"Minor vehicle scratch reported during routine parking maneuver, no injury.",MODERATE,
2026-06-03,UNSAFE_CONDITION,Site Delta,Site Charlie,Operations,Contractor-Northstar Industrial,Site Supervisor,Employee suggestion box was overflowing and needs regular clearing.,LOW,
2026-04-12,UNSAFE_ACT,Site Foxtrot,Site Bravo,Maintenance,Contractor-Vantage Energy Services,Safety Officer,Trip hazard from a loose cable was reported and fixed same day.,MODERATE,
2026-08-04,UNSAFE_CONDITION,Site Alpha,Site Echo,Operations,Contractor-Meridian Fabrication,Foreman,First aid kit in the workshop was missing a few items.,MODERATE,
2026-04-03,UNSAFE_ACT,Site Bravo,Site Foxtrot,HSE,Contractor-Northstar Industrial,Technician,First aid kit in the workshop was missing a few items.,HIGH,
2026-07-29,UNSAFE_CONDITION,Site Echo,Site Foxtrot,Maintenance,Contractor-Atlas Mechanical,Foreman,Trip hazard from a loose cable was reported and fixed same day.,MODERATE,
2026-08-08,UNSAFE_ACT,Site Alpha,Site Alpha,Pipeline Integrity,Contractor-Northstar Industrial,Engineer,Waste segregation bins were not properly labeled at the site office.,HIGH,
2026-06-20,UNSAFE_ACT,Site Charlie,Site Bravo,Pipeline Integrity,Contractor-Summit Rigging Co,Safety Officer,Worker was observed on scaffold without a secured harness.,MODERATE,working_at_height
2026-08-24,NEAR_MISS,Site Echo,Site Delta,Maintenance,Contractor-Vantage Energy Services,Foreman,Minor spill of lubricant was cleaned up promptly with no injury.,HIGH,
2026-03-11,UNSAFE_ACT,Site Alpha,Site Foxtrot,Maintenance,Contractor-Beacon Electrical Works,Operator,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-03-02,NEAR_MISS,Site Alpha,Site Echo,Pipeline Integrity,Contractor-Atlas Mechanical,Engineer,First aid kit in the workshop was missing a few items.,HIGH,
2026-04-10,UNSAFE_CONDITION,Site Alpha,Site Echo,HSE,Contractor-Pinnacle Contractors,Operator,First aid kit in the workshop was missing a few items.,LOW,
2026-05-15,NEAR_MISS,Site Alpha,Site Delta,Drilling,Contractor-Redline Maintenance Group,Safety Officer,Water leakage from a faucet reported in the site canteen.,LOW,
2026-07-23,UNSAFE_ACT,Site Bravo,Site Foxtrot,Drilling,Contractor-Orion Field Services,Engineer,Employee suggestion box was overflowing and needs regular clearing.,MODERATE,
2026-05-12,UNSAFE_ACT,Site Bravo,Site Foxtrot,Operations,Contractor-Atlas Mechanical,Engineer,Hot work began without a valid permit issued by the site safety officer.,LOW,permit_to_work
2026-08-13,NEAR_MISS,Site Alpha,Site Bravo,Maintenance,Contractor-Atlas Mechanical,Safety Officer,Fire extinguisher inspection tag found expired in the break room.,LOW,
2026-07-10,UNSAFE_ACT,Site Delta,Site Echo,Maintenance,Contractor-Northstar Industrial,Foreman,Water leakage from a faucet reported in the site canteen.,LOW,
2026-07-16,UNSAFE_CONDITION,Site Delta,Site Alpha,Pipeline Integrity,Contractor-Orion Field Services,Site Supervisor,Technician climbed to elevated work area without anchor point confirmed.,MODERATE,working_at_height
2026-08-06,NEAR_MISS,Site Charlie,Site Delta,Operations,Contractor-Ironclad Scaffolding,Engineer,Signage for emergency assembly point was faded and needs replacement.,HIGH,
2026-06-20,UNSAFE_ACT,Site Alpha,Site Alpha,Maintenance,Contractor-Coastal Logistics,Engineer,Employee suggestion box was overflowing and needs regular clearing.,MODERATE,
2026-07-23,NEAR_MISS,Site Charlie,Site Bravo,Maintenance,Contractor-Pinnacle Contractors,Technician,Fire extinguisher inspection tag found expired in the break room.,LOW,
2026-07-26,NEAR_MISS,Site Alpha,Site Foxtrot,HSE,Contractor-Coastal Logistics,Technician,Temporary lighting was insufficient in the storage yard at night.,HIGH,
2026-07-03,UNSAFE_ACT,Site Bravo,Site Bravo,Maintenance,Contractor-Pinnacle Contractors,Safety Officer,"Minor vehicle scratch reported during routine parking maneuver, no injury.",LOW,
2026-03-26,NEAR_MISS,Site Echo,Site Bravo,Pipeline Integrity,Contractor-Redline Maintenance Group,Foreman,Employee suggestion box was overflowing and needs regular clearing.,MODERATE,
2026-06-01,UNSAFE_CONDITION,Site Charlie,Site Charlie,Logistics,Contractor-Delta Wellsite Services,Safety Officer,Employee suggestion box was overflowing and needs regular clearing.,MODERATE,
2026-03-29,UNSAFE_ACT,Site Echo,Site Foxtrot,Logistics,Contractor-Atlas Mechanical,Site Supervisor,Fire extinguisher inspection tag found expired in the break room.,HIGH,
2026-08-02,NEAR_MISS,Site Charlie,Site Foxtrot,Logistics,Contractor-Coastal Logistics,Safety Officer,Housekeeping issue noted in the tool storage area.,MODERATE,
2026-08-24,UNSAFE_CONDITION,Site Delta,Site Bravo,Pipeline Integrity,Contractor-Atlas Mechanical,Safety Officer,Signage for emergency assembly point was faded and needs replacement.,MODERATE,
